Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
-324.0375,81.67776,-77.172554,-31.382881,12.934339,7.1484094,-0.7340419,7.4032145,-3.9476604,-4.0288863,2.026506,6.1222243,8.211034
-3.36E+02,1.11E+02,-6.96E+01,-4.36E+01,1.03E+00,3.45E-01,-1.16E+01,3.24E+00,2.45E+00,1.52E+01,7.16E+00,-5.74E+00,6.55E-02
-347.94595,104.199356,-70.17334,-39.58871,3.2381055,2.3974907,-10.652914,5.8240404,3.4268947,14.354027,4.0092807,-9.973883,-1.6792276
-3.38E+02,1.10E+02,-7.31E+01,-4.30E+01,4.86E+00,3.99E+00,-1.30E+01,2.45E+00,-1.19E-01,1.17E+01,3.05E+00,-9.38E+00,6.69E-01
-49.10749,71.483604,-40.426376,37.456017,7.3168077,11.30617,9.10106,5.0313587,-2.3095415,1.4629979,-4.301825,5.503915,-2.3596947
-46.199627,73.00436,-40.526543,37.9955,8.007901,11.861319,9.544369,4.650113,-3.0330126,1.6128085,-3.746855,5.366113,-2.6387923
-37.8722,68.41028,-35.886875,37.11995,9.585915,12.233939,7.288043,5.4621325,-3.0519373,2.454188,-2.1637053,4.873845,-2.4307404
-38.783283,67.95724,-35.537216,37.2958,9.238687,12.37748,6.7706065,5.023966,-2.823975,2.147257,-2.3000119,5.092473,-1.6252025
-44.694904,69.141556,-36.8327,37.607647,7.2207527,12.550013,7.7139306,4.5007343,-2.9731002,2.323992,-2.1427155,4.163537,-1.2878349
-47.72907,69.42536,-37.333828,38.019413,6.1446853,12.26391,8.405635,4.376227,-2.9506402,2.2916453,-1.6858429,3.627807,-1.690683
-47.44126,69.24389,-37.3081,38.70163,6.119173,11.547618,7.8702073,4.513675,-2.4988675,1.750026,-1.6259503,3.821351,-1.8484954
-46.38542,69.78547,-37.292126,39.24993,7.0652757,11.857746,7.8969917,4.308025,-2.0461876,1.5043988,-1.7588136,4.2575154,-1.8287141
-46.412266,69.086555,-36.857124,38.860283,7.6936345,12.227965,8.356616,3.8516817,-2.0794554,1.6341938,-2.370301,4.4308543,-1.5158526
-46.128704,69.59733,-36.866856,37.628098,6.833952,11.823671,8.7112255,4.3545923,-1.671308,2.3676941,-2.4511483,4.7256975,-1.3997146
-45.94266,70.56927,-37.514675,36.638252,6.448643,11.16241,8.465849,5.3174424,-1.8145198,1.7912284,-2.1095414,4.4876914,-1.8644799
-46.250843,70.96993,-37.44435,36.63314,6.0789814,11.613297,8.626876,6.0462766,-2.091087,1.4054228,-2.29297,3.972371,-1.8567082
-46.912815,73.38938,-40.260193,37.912876,7.8313093,11.815093,9.59037,4.6990104,-2.8243454,0.69416046,-3.7749853,5.726109,-2.202589
-45.35688,68.44755,-35.749767,37.154884,7.220881,12.618043,9.073678,5.6341963,-2.7365677,2.523419,-2.950299,3.9599338,-1.2052466
-46.108677,67.119,-35.378838,38.147648,8.900291,13.20641,8.581216,5.277667,-3.2560012,2.390097,-2.7758527,3.1824422,-1.1457611
-47.443928,69.168,-35.942867,38.316174,8.900847,13.067094,7.6649065,6.065235,-3.0848167,1.3093705,-2.5164883,2.393572,-1.23342
-47.581078,69.33247,-35.819736,37.65617,8.606262,12.32211,6.930005,6.3111734,-3.6412773,1.2423586,-2.7833877,2.0207725,-1.8100795
-46.89878,68.946655,-36.324722,37.89264,9.092317,11.891161,6.8374615,6.5690312,-3.6354325,1.1201987,-2.3082533,2.1763954,-2.4326377
-45.809055,68.166405,-36.232975,38.091526,9.578729,11.759238,6.890285,6.8798766,-2.8882356,0.74867946,-2.3723834,2.2320673,-2.4361432
-45.969418,68.22872,-35.18634,37.80552,8.658762,11.74492,6.643675,5.8967996,-3.7098234,1.0600048,-2.9447162,1.2507284,-2.4817061
-47.02263,68.56777,-34.515987,37.84547,8.631573,12.265919,6.479119,5.2076144,-4.314855,1.3010751,-2.654076,0.9248317,-2.223604
-46.81642,68.393234,-34.544693,37.05084,8.773293,12.632483,6.1841,4.8980255,-4.118702,1.8834285,-1.8844513,1.0104908,-2.1803658
-44.658432,67.51676,-33.255424,36.20836,8.4476185,12.25914,6.254152,4.7747684,-4.151856,2.8546152,-1.7479277,0.6457642,-2.1110396
-46.466022,73.48496,-39.630974,37.85529,7.9536223,11.901846,8.730263,4.987537,-2.8539217,0.521801,-4.0297766,5.8189907,-2.4124677
-40.487823,65.09179,-31.316235,36.414013,9.67709,12.132743,7.272362,6.024286,-3.6592553,3.3625128,-1.5475425,1.9042968,-0.7854769
-44.0889,72.40476,-39.082413,38.116844,8.316433,11.747331,7.868413,4.9084034,-3.1909711,1.3762445,-3.600375,5.487388,-2.6408606
-42.7055,71.21646,-38.80762,38.02761,8.088241,11.963847,8.257113,5.1896987,-2.6336045,1.2880297,-3.2808661,5.0715904,-2.54652
-43.04792,70.08624,-38.556686,37.839832,8.368867,12.044212,7.874571,4.9019895,-2.5566258,1.0272088,-3.5564516,4.946426,-2.951186
-40.61719,67.603584,-38.983635,36.544662,9.4625,11.960991,6.633897,3.3286407,-2.4844594,1.4442395,-4.223606,4.8002434,-3.100128
-40.445133,68.16037,-38.941456,36.114235,8.798409,11.820072,6.69204,3.836574,-2.2083378,1.4027152,-3.7462244,4.698193,-3.344656
-41.79047,69.71592,-37.55908,37.22351,8.4453125,11.960587,7.551861,5.514932,-2.95313,1.4622679,-2.651321,4.6364574,-3.1015713
-184.81583,23.799057,-51.840656,-5.3171353,-12.500071,-10.222601,-8.114819,3.9931943,-2.5817149,0.5699622,0.35835102,9.306672,-2.2437518
-66.69325,29.730732,-58.10033,-11.508695,-21.295568,-14.647393,-14.07329,-0.66961896,-6.504671,2.918429,4.6849027,9.945073,1.9252944
-140.4145,37.120872,-60.389343,0.59053963,-13.339021,-12.822137,-10.8159895,2.4668043,-4.1321197,0.34634233,1.681087,7.4508104,-5.274551
-333.02533,59.38014,-87.033455,-14.010736,-29.426847,-27.831818,-29.440134,-29.95786,-22.719349,-16.946796,-12.177391,-7.234026,-3.3867238
-311.6263,52.495686,-87.01849,-5.8737154,-38.969753,-24.68714,-25.61027,-28.710073,-24.815924,-21.682905,-14.286774,-3.4831836,4.132732
-289.1585,70.849144,-84.04736,-22.573788,-30.695944,-26.429369,-19.035362,-21.71864,-15.31635,-24.057398,-14.858299,2.9718099,-9.073599
-259.40878,56.831364,-86.82827,-17.881355,-30.181835,-25.296541,-15.452696,-22.386568,-13.843276,-21.655357,-4.944707,6.2344666,-6.8464932
-287.67346,58.037052,-81.151375,-14.24287,-31.792545,-14.779345,-15.432167,-26.994005,-6.844009,-20.816742,-13.683594,-2.8087018,-1.6082728
-325.96185,66.2777,-77.95156,-7.451765,-28.585608,-21.226088,-16.437088,-31.163939,-15.270957,-14.8177185,-17.333668,-2.1818464,-5.7580047
-339.10986,63.283394,-67.65535,-22.471464,-28.422258,-19.797235,-25.714996,-17.924,-23.174559,-15.11944,-13.678241,-10.780997,-6.5218062
-380.051,75.712036,-64.957214,-16.29545,-26.886477,-23.262926,-28.105062,-17.076904,-24.342354,-15.212593,-15.607242,-8.170017,-7.085321
-402.43027,92.26344,19.303581,-13.194188,-5.806574,2.4085865,-14.885645,-8.070934,-9.417303,-6.220677,0.9733784,-5.7620926,1.6563414
-366.39005,126.18357,31.372793,-23.601942,-12.95414,0.484961,-26.859764,-19.40935,-21.998045,-10.158172,2.2431223,-5.574068,5.3204246
-4.21E+02,6.87E+01,1.11E+01,-1.11E+00,2.82E+00,2.40E+00,-8.49E+00,-2.87E+00,-2.95E+00,-1.18E+00,4.12E+00,1.49E-02,-7.37E-01
-173.58669,3.4423444,28.144503,26.33706,-3.872118,14.699255,6.9230337,5.8280954,16.05291,-2.6748831,10.821247,1.4234781,-1.1269037
-222.71716,26.865116,37.549767,25.503342,-6.2443805,17.3627,5.7781487,2.44052,22.836857,-8.735928,14.248154,-1.0543523,-5.8040566
-199.3317,12.70457,35.56194,25.22874,-5.0992813,15.599327,5.1765537,3.9954479,18.83186,-5.7416253,12.191604,-0.35621947,-3.9396274
-1.83E+02,4.43E+00,3.21E+01,2.66E+01,-3.90E+00,1.47E+01,4.78E+00,5.88E+00,1.52E+01,-2.29E+00,1.04E+01,7.48E-02,-2.61E+00
-204.93953,17.88366,32.525837,27.383072,-4.1298604,16.134855,5.326532,5.9512424,17.061,-2.6398914,9.742667,0.6004475,-3.2562213
-241.15056,43.06432,34.691025,25.37166,-6.0802712,18.05393,4.9250665,4.3385425,22.943613,-7.659613,11.788194,1.1119329,-5.7653046
-244.13313,44.63204,33.622375,24.797503,-4.4075427,17.229631,4.1952505,5.082299,21.861538,-6.2362547,10.76137,1.5480844,-5.9306946
-246.66014,45.826763,33.170265,24.07192,-4.834126,18.095522,3.9318051,2.8712013,24.20592,-6.8455606,12.198657,1.6354252,-6.6589913
-247.61658,46.90786,32.418484,24.834448,-5.3940215,18.50169,4.427518,1.6543012,25.61887,-8.242322,11.934147,1.2223244,-6.7360973
-251.68204,51.042053,31.314219,23.879301,-5.4286613,17.181557,4.890707,2.5540388,23.32114,-8.115764,11.179122,0.7913318,-6.797568
-252.33322,50.45161,31.646456,24.176332,-5.4643173,16.877789,5.582809,2.5091352,23.657969,-8.243518,10.665298,1.1459206,-6.935161
-247.12012,43.795166,33.967854,24.374525,-6.6987543,17.925491,6.374985,2.0953019,25.189476,-9.87935,11.765951,1.067594,-6.398597
-244.59108,41.079205,35.637257,24.09861,-7.0602207,18.671618,5.6185274,1.6784862,25.726852,-10.06165,12.910852,0.36529613,-6.4244704
-243.46022,43.54078,34.79292,24.67338,-7.8184347,17.20188,5.2290874,2.63853,25.899832,-9.579052,12.6285925,0.39172208,-6.5505548
-242.80162,41.587288,33.41058,27.003523,-3.9911294,16.560595,5.551266,3.8269656,22.948961,-6.579158,10.147492,0.33235583,-6.207253
-2.37E+02,3.55E+01,3.60E+01,2.61E+01,-3.96E+00,1.67E+01,4.85E+00,4.39E+00,2.25E+01,-5.86E+00,1.03E+01,8.19E-02,-5.17E+00
-184.29086,5.45604,33.594944,26.714499,-2.3386388,15.826773,5.138152,6.2045674,17.257324,-2.4699337,12.391002,1.9090617,-1.2879637
-227.58762,26.738274,38.496326,25.688013,-5.5902257,17.229147,4.488028,3.1780477,22.415195,-6.869445,11.5525055,1.4320766,-5.8734355
-229.35414,27.450144,37.09751,26.632265,-5.5404224,16.450928,4.8657517,3.4274812,23.007322,-6.580517,10.977143,0.9627066,-5.836035
-229.8387,31.917797,36.077694,25.509687,-4.06155,16.660963,5.0951967,4.2266965,21.559948,-4.344068,9.806816,1.7957392,-5.2882676
-229.61226,32.720825,36.432472,24.773375,-2.9574902,15.746058,5.3686337,4.892477,20.073378,-3.2175286,8.58262,1.8833023,-5.146827
-227.47954,29.75346,36.661522,25.002302,-4.9403157,15.190773,4.9132433,4.395282,20.956503,-4.423981,9.330082,1.2742045,-4.451026
-223.6577,24.608494,37.31937,25.045221,-5.3733006,16.176767,5.3913016,3.6726213,20.306234,-5.0848026,9.724498,1.2449163,-4.511248
-188.58359,7.920974,32.499504,25.587467,-3.6947932,15.320702,4.413431,6.115567,16.746206,-2.0756614,10.953867,2.2572494,-1.9740382
-223.14911,23.233072,37.153717,25.102161,-5.0505123,16.270369,5.3088923,3.7515433,18.88141,-4.0420465,9.575365,1.2593758,-4.554752
-214.03021,23.387554,37.619633,24.664745,-5.3112583,16.892397,5.599645,4.0300865,20.576881,-5.7184987,12.021685,0.79552686,-4.6236134
-221.25754,28.20685,33.800938,27.52425,-6.588513,15.018984,5.4247084,3.230357,20.980082,-5.2438335,13.001657,-0.25446212,-2.7121139
-219.21852,144.59772,-3.2722416,10.478359,12.348385,7.717128,-7.9704065,5.3133388,8.448254,-0.82474035,-5.17249,2.1384454,-3.324412
-220.89938,144.97063,-4.152257,9.8727865,11.96584,9.190612,-7.902569,8.014341,6.9387693,-0.5332651,-6.4540887,1.5467526,-3.6914804
-219.28653,138.10582,-1.6331974,10.546871,9.442604,11.844498,-8.511699,9.613272,5.4370584,-4.7920394,-8.011155,0.4173115,-2.8878336
-224.46338,145.60696,-1.6756831,10.994344,10.010616,12.727025,-5.9444976,6.288854,1.8491943,-5.4802055,-6.570351,-0.842635,-4.8109922
-234.90146,149.48329,-1.801635,10.83857,8.305272,11.176652,-9.709814,0.7573244,5.710452,-0.9927166,-3.4213417,2.7675467,-1.4884698
-228.88254,142.99634,-1.244966,11.735811,8.63989,10.858923,-11.524765,3.8133104,6.3657374,1.2407924,-1.350871,2.9107225,-1.8584415
-283.186,100.11286,-41.654274,-2.3452423,-9.652527,-9.962848,3.1108086,-4.9170227,2.5185297,6.065683,1.3500925,11.829987,-4.1601415
-254.01215,80.77974,-43.70076,-4.0738826,-6.447417,-7.2665744,2.5574677,-9.00535,4.8955846,10.178815,6.6051435,12.020378,-2.5018382
-2.81E+02,8.06E+01,-4.01E+01,1.20E+01,-2.58E-01,-1.13E+01,1.41E+00,-3.71E+00,-3.32E+00,7.16E+00,2.16E+00,1.00E+01,9.89E-01
-254.78256,93.036896,-46.62284,2.442316,-10.85455,-4.540368,-3.200222,-1.485079,7.1873145,2.7813504,3.9168255,6.287992,1.3862137
-243.28743,86.924934,-48.301216,-3.053924,-9.085423,-7.056676,-0.7599556,-6.3997445,5.344776,4.316207,2.7233841,10.811348,-1.9033233
-253.16664,98.504845,-41.17197,-14.738835,-8.16391,-6.9496603,2.5072904,-1.2853575,8.260895,4.664522,7.0790257,17.37092,1.2309645
-383.8466,128.0813,29.695763,18.47765,-6.304207,0.62069315,-2.9178262,5.958185,2.5473633,5.051096,-1.9341484,0.7151025,2.3239393
-4.99E+02,6.00E+01,1.28E+01,1.11E-01,-1.74E+00,4.34E+00,-7.28E+00,-1.93E+00,-2.30E+00,-5.84E+00,1.14E+00,2.86E+00,4.26E-01
-4.75E+02,4.04E+01,5.54E+00,-4.42E+00,-3.02E+00,-3.68E-01,-4.68E+00,-1.21E+00,-1.51E+00,-3.54E+00,-1.02E-01,1.29E+00,1.46E+00
-4.44E+02,8.90E+01,1.01E+01,-8.37E+00,-7.84E+00,-3.98E-01,-1.28E+01,-5.91E+00,-6.15E+00,-9.27E+00,-8.85E-01,2.16E+00,-1.54E+00
-3.92E+02,9.99E+01,3.91E+01,3.08E+01,1.07E+01,1.19E+01,2.75E-01,2.64E+00,-5.77E+00,-2.02E+00,-7.76E+00,-2.45E+00,-4.99E+00
-3.74E+02,1.04E+02,2.47E+01,2.04E+01,4.99E+00,8.98E+00,-3.35E+00,-3.07E+00,-7.17E+00,2.30E+00,-7.39E-01,4.24E+00,-3.92E-02
-3.92E+02,8.54E+01,1.92E+01,2.17E+01,7.42E+00,1.04E+01,-3.21E-01,3.41E+00,-2.16E+00,4.50E+00,8.62E-02,5.44E+00,2.74E+00
-395.9325,81.115395,17.608679,21.393267,6.8763704,11.225438,1.6305789,5.5358357,-1.5644225,4.379283,0.8141672,5.618686,2.1148963
-209.71161,131.9553,-40.902233,-10.570069,-21.83275,3.9727342,13.117164,20.733534,-5.336836,-8.602993,-5.7562685,-0.75847435,-15.727954
-206.30911,129.2221,-44.105125,-12.722894,-18.42229,8.288071,12.223254,17.447231,-7.4214544,-8.850197,-4.5124187,0.59019834,-13.113939
-2.11E+02,1.29E+02,-3.67E+01,-1.49E+01,-1.67E+01,1.18E+01,1.04E+01,1.78E+01,-6.07E+00,-7.34E+00,-4.52E+00,1.07E-01,-1.08E+01
-217.4986,118.607086,-29.332003,-15.343391,-12.31197,17.039043,11.790287,16.502584,-8.779998,-6.006934,-0.92683625,2.5654802,-9.206052
-2.05E+02,1.04E+02,-1.82E+01,-1.81E+01,-6.64E+00,1.37E+01,1.40E+01,1.44E+01,-4.25E+00,-6.29E+00,-1.62E-01,1.16E+00,-8.30E+00
-193.83801,105.751434,-18.405241,-15.290725,-8.945887,7.767288,9.850603,12.740252,-0.2914678,-3.6536114,-2.6192472,-4.0174813,-10.010366
-189.4576,115.772446,-24.758942,-3.611959,-11.329886,12.523922,3.6906393,8.980832,-0.32153875,2.5352783,0.37811676,-1.9836355,-9.672162
-201.99265,134.13033,-29.975586,-10.430997,-21.994379,14.516134,-2.3628373,12.432877,6.3828754,-3.847778,-16.597187,-2.6954012,-8.384989
-151.1861,107.49539,-14.57307,11.693497,8.016646,18.63627,8.948707,28.076708,13.345912,7.2834573,0.48005798,13.145051,12.884419
-152.12984,107.390854,-13.77808,12.085535,8.430417,19.394444,8.1407,28.036146,13.515069,7.7906847,1.230014,13.424789,12.200207
-150.96423,104.14112,-13.087531,11.785538,7.240281,18.999647,9.565906,29.55953,13.443678,7.8615675,1.4253427,11.867707,12.739072
-149.94919,106.41237,-11.499429,12.264609,7.554298,18.46298,8.471538,28.639372,12.857498,8.26636,1.4110702,10.483931,11.896287
-150.4736,105.890015,-11.804715,12.153357,8.00442,17.994572,8.153739,28.06725,13.521315,8.95818,1.3999008,10.192947,11.936402
-151.81264,105.427025,-12.192689,11.856439,8.46265,17.941051,8.368182,28.197348,13.641985,8.429424,1.30561,10.93315,12.29185
-152.40752,107.2348,-11.068606,11.792611,8.103848,17.496075,8.189215,27.742256,12.711403,7.644393,1.4741644,11.204052,12.687779
-153.04118,106.82429,-11.995444,11.823478,7.339323,17.576567,8.739029,28.074797,13.159156,8.397887,1.9439687,10.65968,11.885395
-153.1145,105.76961,-12.958917,11.868991,6.4036,18.06659,9.185812,28.392412,13.509772,8.6334505,2.2189043,10.562481,11.9886
-152.21474,104.735504,-13.121125,11.10612,6.179497,18.425688,8.838321,28.854462,13.464456,8.289789,2.3915753,10.793855,12.838003
-150.1838,105.50529,-12.042517,11.227543,6.6751604,18.04694,8.196166,28.404234,13.083061,7.582261,1.403666,10.523476,12.315288
-150.12042,106.89641,-11.575578,11.463383,6.976582,17.810781,8.59389,28.043144,12.7599125,7.1709733,1.0037135,10.258271,12.10353
-151.41331,106.25753,-14.514902,11.664293,7.6184125,20.851318,8.174213,27.595486,13.987485,8.266589,0.88014096,12.616844,11.946323
-150.0736,105.76108,-12.4279785,10.419573,6.643515,18.365503,9.161639,28.938889,12.604566,7.715284,1.4515736,10.07214,12.48911
-150.44876,105.12735,-12.814492,10.141366,6.14642,18.763977,9.600447,29.508303,13.023491,7.892337,0.8932623,9.721472,12.178395
-150.84709,105.22517,-12.893196,10.410003,6.2247195,18.482088,9.930721,29.132053,13.614534,8.559058,0.9806999,9.261777,11.807798
-149.53517,106.774475,-11.110981,10.864479,6.1107445,17.891865,9.199426,27.921198,13.008639,8.237264,0.9455428,9.550431,12.030115
-149.2155,106.89792,-10.268357,10.653035,5.86497,17.854633,9.265214,27.843132,12.784303,7.430742,0.925989,9.779412,11.648312
-150.82507,104.129524,-12.001311,9.826674,5.660267,17.97444,9.768385,29.024714,12.920481,8.09137,2.304249,10.5153,11.954868
-150.15706,103.33288,-12.199295,10.5105295,6.3370905,18.179453,9.918765,29.360485,12.283055,8.197641,2.1047366,10.74894,12.083522
-148.65277,104.55205,-13.044956,11.961903,7.2034383,19.650677,10.578001,28.480558,11.722358,8.535953,1.7683539,10.828219,11.701596
-148.56825,106.15982,-14.813635,11.6941805,7.951931,20.041943,10.359818,27.62414,11.013783,9.125026,2.6466184,11.9866085,12.322989
-149.8406,106.635475,-15.034709,11.032083,8.632391,19.656439,9.778189,27.560087,10.898257,9.577558,2.953289,11.915412,13.0226755
-150.7958,104.9592,-14.95757,11.79738,7.1387935,20.882858,8.208739,27.572289,14.014119,8.363782,0.36573234,11.636642,11.666644
-150.29051,106.27547,-15.394014,11.514488,8.2001915,19.866653,9.399747,27.301746,11.292527,9.88794,3.019581,11.918916,13.869959
-151.00797,105.25031,-14.735064,12.364132,7.4469934,19.729347,7.793326,27.36914,13.178525,8.258017,0.48656765,11.740268,11.397367
-150.74614,106.1863,-14.667297,11.861675,7.4841323,19.203949,8.310918,27.105633,12.856096,7.3753514,0.29275304,11.631404,11.774372
-150.86754,106.0141,-14.133933,11.19032,6.8503814,19.402603,9.335565,27.75341,13.047578,6.7296333,-0.6949585,12.075595,13.012404
-148.68547,105.71261,-13.829516,10.724736,6.696357,19.404234,9.282643,27.86137,13.087203,6.483778,-1.3291267,12.895599,13.73187
-148.34442,105.3703,-14.007426,10.401246,6.4922447,18.90721,8.850365,27.815384,13.501658,6.8466206,-0.25692078,13.553284,14.184444
-149.91327,104.20511,-13.659442,11.082141,6.628212,18.813593,9.283797,28.555445,13.668339,7.4826922,1.0140328,13.524894,14.112537
-142.48135,96.04191,-16.521107,20.989513,9.278894,20.431112,1.224903,14.921893,9.47138,14.491005,6.2339687,9.933498,2.5035295
-140.17952,98.67056,-15.367893,21.849867,9.585681,19.78202,0.5412133,14.823689,8.3074665,13.15161,6.027822,10.196786,2.41645
-179.40865,129.50394,-70.06777,12.4557495,-22.09478,9.270918,-20.314442,0.6062328,-20.125128,-11.59809,-3.990522,3.1163766,1.9832745
-174.72879,127.82638,-69.46412,10.45056,-21.591246,11.462328,-19.446735,2.6050704,-20.659502,-13.420361,-4.4703364,4.5554547,4.229079
-244.25645,143.5452,-58.967995,-0.4057126,-11.707363,13.307512,-13.226681,-3.4212604,-7.6341643,-5.041873,-2.486825,1.5603487,1.0822438
-255.1394,149.57089,-55.152023,-3.3058398,-7.1564307,12.341203,-11.03577,-3.9355628,-5.843803,-4.0077577,-2.937916,1.0912399,-1.1960584
-264.1492,153.5736,-53.13953,-4.8790255,-2.69649,11.840366,-9.022745,-2.5692616,-3.7083585,-2.2076013,-2.24337,1.046778,-2.283061
-276.41296,153.79091,-51.535618,-6.9765244,1.9576751,11.341545,-8.970786,-1.3178545,-2.6043398,-1.1871533,-1.8543326,2.0731163,-2.6797762
-288.02017,146.36894,-43.757774,-10.032436,3.8740609,10.684883,-8.620944,0.40860978,-3.2387872,-1.4452327,-1.3546419,3.8591168,-1.8967948
-297.8468,141.9895,-37.232468,-10.655247,1.4819087,13.068235,-8.364194,2.087358,-6.0157747,-1.5317662,-2.5954943,3.896132,-1.1604369
-176.16829,124.423096,-66.97181,7.076506,-20.088997,11.105818,-18.653828,3.09856,-19.99726,-12.873747,-6.243366,5.7393923,2.168454
-1.70E+02,1.20E+02,-6.51E+01,5.24E+00,-1.95E+01,9.80E+00,-1.80E+01,4.24E+00,-1.84E+01,-9.25E+00,-5.68E+00,5.88E+00,-1.64E-01
-170.24971,120.29148,-63.659466,4.0444317,-18.300594,10.506277,-17.033337,5.7246213,-17.40785,-7.6411915,-3.901653,5.8031297,-0.3513377
-1.88E+02,1.24E+02,-6.23E+01,2.06E+00,-1.35E+01,1.22E+01,-1.64E+01,5.69E+00,-1.51E+01,-6.77E+00,-3.00E+00,4.33E+00,-6.95E-02
-196.8857,126.80796,-61.33578,1.3154538,-13.383622,13.177139,-17.011103,4.1531878,-13.0963125,-5.8882494,-2.842085,1.1859329,2.3898394
-194.53888,125.138504,-60.59856,2.1814384,-18.016516,16.206652,-18.026596,3.1187158,-11.541202,-5.5951557,-4.631076,0.29268822,4.287874
-202.59108,128.51604,-61.66425,1.7129266,-18.059628,15.362472,-17.26047,3.7458262,-11.584397,-3.3470361,-3.8822057,-0.92871094,1.4872665
-2.23E+02,1.37E+02,-6.04E+01,3.82E-01,-1.47E+01,1.28E+01,-1.57E+01,1.23E+00,-9.94E+00,-2.97E+00,-1.52E+00,-1.74E-01,6.01E-01
-149.29295,78.72553,-6.254911,23.591057,-16.56108,10.88419,-4.8498025,5.235999,0.6636752,-0.6170736,-3.919755,3.4572513,-2.924263
-153.06758,73.89976,-4.7444015,25.033533,-14.570842,10.60371,-1.2090654,8.564647,3.074832,0.3921492,-3.1321163,5.5911765,-2.3942125
-153.0101,73.87596,-8.889891,24.333826,-13.948835,13.415318,0.4411767,10.416803,4.782225,1.3872222,-3.6821952,6.0794196,-1.9143194
-157.95953,78.23947,0.2935837,24.528015,-14.696741,10.299779,-3.6120257,4.4414225,1.3620523,2.4216132,-6.6546216,4.4359455,-2.558411
-156.76178,77.75716,1.6048908,25.985628,-16.421553,9.453816,-5.0925255,4.0931334,1.2150593,-1.3303654,-4.81234,4.1110754,-2.9143722
-145.14304,72.693886,-1.1054474,26.62579,-18.579899,11.71344,-5.9552984,4.3993406,0.89169186,-2.322118,-5.057801,3.5486107,-1.7997482
-144.07571,70.01164,-2.9888818,26.479362,-19.886877,11.711727,-5.664028,3.606669,1.1920344,-3.6539667,-8.4152155,3.5432172,-1.6550847
-1.50E+02,7.27E+01,-2.22E+00,2.63E+01,-2.08E+01,1.01E+01,-7.77E+00,9.27E-01,1.49E-01,-7.92E+00,-9.30E+00,2.56E+00,-1.95E+00
-1.67E+02,8.16E+01,4.94E+00,2.50E+01,-1.48E+01,8.73E+00,-9.95E+00,-1.14E-01,1.99E+00,-8.09E+00,-1.01E+01,1.93E+00,-1.26E+00
